,Temp,Grid,S_L,Y_IXC8H18,Y_CO,Y_O2,Y_NO,Y_CO2,Y_H2O,HRR,C_P,lambda,time_scale
115,1404.381696,0.010297656,0.588939237,3.32E-05,0.022257568,0.115638593,1.39E-06,0.066982621,1.15E-05,836890533.1,1306.586593,0.092202515,0.017485091
116,1411.093476,0.010303125,0.591812656,2.31E-05,0.022254369,0.114861802,1.41E-06,0.067771488,1.21E-05,847040129.3,1307.143974,0.092584427,0.017409437
117,1417.580102,0.010308594,0.594583137,1.58E-05,0.022235117,0.114103466,1.43E-06,0.06855655,1.28E-05,852931093.1,1307.694515,0.092953194,0.017337514
118,1423.839901,0.010314063,0.59725015,1.07E-05,0.022199697,0.113364133,1.46E-06,0.069337285,1.34E-05,854533262.2,1308.237557,0.093308768,0.017269251
119,1429.872447,0.010319531,0.599813631,7.13E-06,0.0221481,0.112644257,1.48E-06,0.07011318,1.41E-05,851893261.1,1308.772564,0.093651167,0.017204563
120,1435.678594,0.010325,0.602274146,4.69E-06,0.022080421,0.111944204,1.50E-06,0.070883738,1.47E-05,845132033,1309.299118,0.093980476,0.017143356
121,1441.260372,0.010330469,0.604632702,3.04E-06,0.02199686,0.111264242,1.53E-06,0.071648477,1.53E-05,834440139.4,1309.816896,0.094296846,0.017085528
122,1446.620983,0.010335938,0.60689089,1.94E-06,0.021897718,0.110604549,1.55E-06,0.072406937,1.60E-05,820071728.3,1310.32567,0.094600486,0.017030965
123,1451.764661,0.010341406,0.609050684,1.22E-06,0.021783396,0.109965211,1.58E-06,0.073158678,1.66E-05,802336644.9,1310.82528,0.094891665,0.01697955
124,1456.69663,0.010346875,0.611114565,7.43E-07,0.021654384,0.109346227,1.61E-06,0.073903287,1.72E-05,781592471.9,1311.315634,0.095170699,0.016931154
125,1465.945337,0.010357813,0.614963703,2.87E-07,0.02135452,0.1081708,1.66E-06,0.07536772,1.84E-05,732579776.6,1312.269618,0.0956935,0.016842966
126,1474.432541,0.01036875,0.618468607,1.06E-07,0.02100399,0.107074163,1.71E-06,0.076799755,1.95E-05,676311119.6,1313.18623,0.096172728,0.0167652
127,1482.222954,0.010379688,0.621658979,3.75E-08,0.020609083,0.10605364,1.77E-06,0.078197133,2.06E-05,616058109.8,1314.066469,0.096612108,0.016696755
128,1489.385494,0.010390625,0.624566405,1.28E-08,0.020176604,0.105105692,1.82E-06,0.079558076,2.16E-05,554837491.2,1314.91168,0.097015567,0.016636542
129,1495.989843,0.010401563,0.627222809,4.19E-09,0.019713535,0.104226151,1.87E-06,0.080881268,2.25E-05,495188124,1315.723426,0.097387049,0.016583521
130,1502.103586,0.0104125,0.629659176,1.33E-09,0.019226725,0.103410447,1.93E-06,0.082165823,2.34E-05,439049885.9,1316.503397,0.097730362,0.016536724
131,1507.790044,0.010423438,0.631904572,4.11E-10,0.018722655,0.102653814,1.98E-06,0.083411234,2.41E-05,387736465.2,1317.253323,0.098049067,0.016495272
132,1513.106832,0.010434375,0.633985491,1.23E-10,0.018207256,0.101951466,2.04E-06,0.084617324,2.49E-05,341981642.8,1317.974909,0.098346396,0.016458381
133,1518.105073,0.010445313,0.635925493,3.59E-11,0.017685801,0.101298733,2.09E-06,0.085784187,2.55E-05,302032568.5,1318.669798,0.098625221,0.016425372
134,1522.829165,0.01045625,0.63774509,1.02E-11,0.017162859,0.10069117,2.14E-06,0.086912146,2.61E-05,267764286.5,1319.339534,0.098888034,0.016395657
